entrezGeneId,hugoSymbol,name,oncogene,curatedIsoform,curatedRefSeq,geneAliases/0,tsg,geneAliases/1,geneAliases/2,geneAliases/3,geneAliases/4,geneAliases/5,geneAliases/6,geneAliases/7,geneAliases/8,geneAliases/9,geneAliases/10,geneAliases/11,geneAliases/12,geneAliases/13,geneAliases/14,geneAliases/15,geneAliases/16,geneAliases/17,geneAliases/18,geneAliases/19,geneAliases/20,geneAliases/21
865,CBFB,"core-binding factor, beta subunit",FALSE,ENST00000412916,NM_022845.2,PEBP2B,FALSE,,,,,,,,,,,,,,,,,,,,,
92002,FAM58A,family with sequence similarity 58 member A,FALSE,ENST00000406277,NM_152274.4,STAR,FALSE,,,,,,,,,,,,,,,,,,,,,
7010,TEK,TEK receptor tyrosine kinase,FALSE,ENST00000380036,NM_000459.3,TIE-2,FALSE,CD202B,TIE2,VMCM,VMCM1,,,,,,,,,,,,,,,,,
867,CBL,Cbl proto-oncogene,FALSE,ENST00000264033,NM_005188.3,NSLL,TRUE,RNF55,C-CBL,FRA11B,CBL2,,,,,,,,,,,,,,,,,
8036,SHOC2,"SHOC2, leucine rich repeat scaffold protein",FALSE,ENST00000369452,NM_007373.3,SIAA0862,FALSE,SOC2,SUR8,,,,,,,,,,,,,,,,,,,
7015,TERT,telomerase reverse transcriptase,TRUE,ENST00000310581,NM_198253.2,TP2,FALSE,TRT,CMM9,PFBMFT1,TCS1,DKCA2,EST2,hEST2,hTRT,DKCB4,,,,,,,,,,,,
23405,DICER1,"dicer 1, ribonuclease III",FALSE,ENST00000343455,NM_030621.3,DCR1,FALSE,RMSE2,K12H4.8-LIKE,Dicer,Dicer1e,HERNA,MNG1,,,,,,,,,,,,,,,
79728,PALB2,partner and localizer of BRCA2,FALSE,ENST00000261584,NM_024675.3,FANCN,FALSE,PNCA3,,,,,,,,,,,,,,,,,,,,
11122,PTPRT,"protein tyrosine phosphatase, receptor type T",FALSE,ENST00000373198,NM_133170.3,RPTPrho,FALSE,,,,,,,,,,,,,,,,,,,,,
2932,GSK3B,glycogen synthase kinase 3 beta,FALSE,ENST00000316626,NM_002093.3,,FALSE,,,,,,,,,,,,,,,,,,,,,
6009,RHEB,Ras homolog enriched in brain,TRUE,ENST00000262187,NM_005614.3,RHEB2,FALSE,,,,,,,,,,,,,,,,,,,,,
55164,SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor",FALSE,ENST00000325599,NM_018130.2,Shq1p,TRUE,GRIM-1,,,,,,,,,,,,,,,,,,,,
894,CCND2,cyclin D2,TRUE,ENST00000261254,NM_001759.3,MPPH3,FALSE,KIAK0002,,,,,,,,,,,,,,,,,,,,
10111,RAD50,RAD50 double strand break repair protein,FALSE,ENST00000265335,NM_005732.3,hRad50,TRUE,RAD502,NBSLD,,,,,,,,,,,,,,,,,,,
896,CCND3,cyclin D3,TRUE,ENST00000372991,NM_001760.3,,FALSE,,,,,,,,,,,,,,,,,,,,,
6016,RIT1,Ras like without CAAX 1,TRUE,ENST00000368323,NM_006912.5,RIBB,FALSE,NS8,RIT,ROC1,,,,,,,,,,,,,,,,,,
898,CCNE1,cyclin E1,TRUE,ENST00000262643,NM_001238.2,pCCNE1,FALSE,CCNE,,,,,,,,,,,,,,,,,,,,
23429,RYBP,RING1 and YY1 binding protein,FALSE,ENST00000477973,NM_012234.5,APAP-1,TRUE,DEDAF,YEAF1,AAP1,,,,,,,,,,,,,,,,,,
7046,TGFBR1,transforming growth factor beta receptor 1,FALSE,ENST00000374994,NM_004612.2,TGFR-1,TRUE,LDS1A,LDS2A,LDS1,ALK5,ACVRLK4,ESS1,MSSE,SKR4,tbetaR-I,AAT5,ALK-5,,,,,,,,,,
7048,TGFBR2,transforming growth factor beta receptor 2,FALSE,ENST00000359013,NM_001024847.2,AAT3,TRUE,LDS1B,LDS2,LDS2B,TGFR-2,RIIC,MFS2,TAAD2,FAA3,TGFbeta-RII,,,,,,,,,,,,
2956,MSH6,mutS homolog 6,FALSE,ENST00000234420,NM_000179.2,GTMBP,TRUE,HNPCC5,p160,GTBP,HSAP,,,,,,,,,,,,,,,,,
8085,KMT2D,lysine methyltransferase 2D,FALSE,ENST00000301067,NM_003482.3,KMS,TRUE,AAD10,KABUK1,MLL2,TNRC21,ALR,CAGL114,,,,,,,,,,,,,,,
54165,DCUN1D1,defective in cullin neddylation 1 domain containing 1,FALSE,ENST00000292782,NM_020640.2,DCUN1L1,FALSE,SCCRO,Tes3,DCNL1,RP42,SCRO,,,,,,,,,,,,,,,,
9113,LATS1,large tumor suppressor kinase 1,FALSE,ENST00000253339,NM_004690.3,wts,FALSE,WARTS,,,,,,,,,,,,,,,,,,,,
55193,PBRM1,polybromo 1,FALSE,ENST00000394830,NM_018313.4,BAF180,TRUE,PB1,,,,,,,,,,,,,,,,,,,,
23451,SF3B1,splicing factor 3b subunit 1,TRUE,ENST00000335508,NM_012433.2,PRP10,FALSE,SAP155,Hsh155,PRPF10,SF3b155,MDS,,,,,,,,,,,,,,,,
26524,LATS2,large tumor suppressor kinase 2,FALSE,ENST00000382592,NM_014572.2,KPM,FALSE,,,,,,,,,,,,,,,,,,,,,
1956,EGFR,epidermal growth factor receptor,TRUE,ENST00000275493,NM_005228.3,PIG61,FALSE,ERBB1,mENA,ERBB,HER1,NISBD2,,,,,,,,,,,,,,,,
4004,LMO1,LIM domain only 1,FALSE,ENST00000335790,NM_002315.2,RBTN1,FALSE,RHOM1,TTG1,,,,,,,,,,,,,,,,,,,
7080,NKX2-1,NK2 homeobox 1,FALSE,ENST00000354822,NM_001079668.2,NKX2A,FALSE,BCH,NK-2,TEBP,TITF1,NKX2.1,BHC,NMTC1,TTF-1,TTF1,T/EBP,,,,,,,,,,,
1964,EIF1AX,"eukaryotic translation initiation factor 1A, X-linked",FALSE,ENST00000379607,NM_001412.3,EIF1AP1,FALSE,eIF-4C,eIF-1A,EIF1A,EIF4C,,,,,,,,,,,,,,,,,
196528,ARID2,AT-rich interaction domain 2,FALSE,ENST00000334344,NM_152641.2,p200,TRUE,BAF200,,,,,,,,,,,,,,,,,,,,
23476,BRD4,bromodomain containing 4,TRUE,ENST00000263377,NM_058243.2,HUNKI,FALSE,MCAP,CAP,HUNK1,,,,,,,,,,,,,,,,,,
1974,EIF4A2,eukaryotic translation initiation factor 4A2,FALSE,ENST00000323963,NM_001967.3,EIF4A,FALSE,eIF4A-II,DDX2B,EIF4F,eIF-4A-II,BM-010,,,,,,,,,,,,,,,,
1977,EIF4E,eukaryotic translation initiation factor 4E,FALSE,ENST00000280892,NM_001130678.1,CBP,FALSE,eIF-4E,EIF4EL1,EIF4F,AUTS19,EIF4E1,,,,,,,,,,,,,,,,
3006,HIST1H1C,"histone cluster 1, H1c",FALSE,ENST00000343677,NM_005319.3,H1s-1,FALSE,H1F2,H1C,H1.2,,,,,,,,,,,,,,,,,,
54206,ERRFI1,ERBB receptor feedback inhibitor 1,FALSE,ENST00000377482,NM_018948.3,RALT,TRUE,MIG-6,GENE-33,MIG6,,,,,,,,,,,,,,,,,,
11200,CHEK2,checkpoint kinase 2,TRUE,ENST00000328354,NM_007194.3,CDS1,FALSE,HuCds1,RAD53,CHK2,PP1425,LFS2,hCds1,,,,,,,,,,,,,,,
5058,PAK1,p21 (RAC1) activated kinase 1,FALSE,ENST00000356341,NM_002576.4,PAKalpha,FALSE,,,,,,,,,,,,,,,,,,,,,
3017,HIST1H2BD,"histone cluster 1, H2bd",FALSE,ENST00000289316,NM_021063.3,HIRIP2,FALSE,H2B/b,H2BFB,dJ221C16.6,H2B.1B,,,,,,,,,,,,,,,,,
7113,TMPRSS2,"transmembrane protease, serine 2",TRUE,ENST00000398585,NM_001135099.1,PP9284,FALSE,PRSS10,,,,,,,,,,,,,,,,,,,,
3020,H3F3A,"H3 histone, family 3A",FALSE,ENST00000366813,NM_002107.4,H3F3,FALSE,H3.3A,,,,,,,,,,,,,,,,,,,,
973,CD79A,CD79a molecule,FALSE,ENST00000221972,NM_001783.3,IGA,FALSE,MB-1,,,,,,,,,,,,,,,,,,,,
3021,H3F3B,"H3 histone, family 3B (H3.3B)",FALSE,ENST00000254810,NM_005324.3,H3.3B,FALSE,,,,,,,,,,,,,,,,,,,,,
974,CD79B,CD79b molecule,FALSE,ENST00000392795,NM_001039933.1,AGM6,FALSE,IGB,B29,,,,,,,,,,,,,,,,,,,
1999,ELF3,E74 like ETS transcription factor 3,FALSE,ENST00000359651,NM_004433.4,ERT,FALSE,ESE-1,EPR-1,ESX,,,,,,,,,,,,,,,,,,
5071,PARK2,parkin RBR E3 ubiquitin protein ligase,FALSE,ENST00000366898,NM_004562.2,PRKN,FALSE,PDJ,LPRS2,AR-JP,,,,,,,,,,,,,,,,,,
161742,SPRED1,sprouty related EVH1 domain containing 1,FALSE,ENST00000299084,NM_152594.2,spred-1,FALSE,NFLS,hSpred1,PPP1R147,,,,,,,,,,,,,,,,,,
